Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
   IT user support technicians,3132,153,31401,6.5,33618,5.4,x,23835,25147,26522,28782,34339,37975,40337,42876,x
   Database administrators and web content technicians,3133,29,30210,1.0,33847,-0.7,19299,23805,25360,26540,28354,32614,34732,x,x,x
 Health and social care associate professionals,32,492,23076,6.9,22942,1.8,9330,14221,16111,18091,20956,25118,27515,28953,30268,33936
  Health Associate Professionals,321,55,24524,6.0,24993,4.7,13970,18004,19172,20817,23177,26164,27801,29060,30625,x
   Dispensing opticians,3211,x,24911,5.5,24265,,x,x,x,x,24640,26407,x,x,x,x
   Pharmaceutical technicians,3212,19,24042,2.5,24689,0.3,x,17575,18233,19144,22105,25870,28375,x,x,x
   Medical and dental technicians,3213,21,25084,5.7,27680,6.3,x,21147,21856,22932,24221,26957,29834,x,x,x
   Complementary health associate professionals,3214,x,x,,x,,x,x,x,x,x,x,x,x,x,x
   Health associate professionals n.e.c.,3219,x,22301,,21530,12.4,x,x,x,x,x,x,x,x,x,x
  Welfare and Housing Associate Professionals,322,304,25350,4.0,24834,-1.2,x,15914,18431,20660,23459,27394,29732,30607,32020,36073
   Youth and community workers,3221,89,25613,4.9,25174,3.9,9056,15512,17410,19964,23506,28370,30153,31384,32856,x
   Child and early years officers,3222,47,25949,6.3,25262,0.8,12013,16176,19120,20448,23981,27774,29771,30521,30904,x
   Housing officers,3223,x,x,,28248,-1.3,x,x,x,x,x,x,x,x,x,x
   Counsellors,3224,16,21423,1.0,21634,,x,x,x,x,17954,24452,x,x,x,x
   Welfare and housing associate professionals n.e.c.,3229,111,24112,4.1,23553,1.1,10213,15862,18472,20453,22645,25796,27665,28907,29941,x
  Teaching and Childcare Associate Professionals,323,119,18049,15.6,17224,7.9,8305,10603,12128,13327,15731,19653,21169,21615,22297,x
   Higher level teaching assistants,3231,32,20491,,19762,4.7,x,15042,16800,17558,19114,21716,22584,23107,24343,x
   Early education and childcare practitioners,3232,87,16201,13.1,16276,8.9,8074,9704,10908,12117,14141,18733,20170,20949,21382,x
  Veterinary nurses,324,13,22901,11.9,22425,6.6,x,x,19086,20196,21759,23842,24759,x,x,x
   Veterinary nurses,3240,13,22901,11.9,22425,6.6,x,x,19086,20196,21759,23842,24759,x,x,x
 Protective service occupations,33,310,42746,2.5,41802,1.9,27638,32224,34160,35559,39305,45248,47602,48576,50426,55078
  Protective Service Occupations,331,310,42746,2.5,41802,1.9,27638,32224,34160,35559,39305,45248,47602,48576,50426,55078
   Non-commissioned officers and other ranks,3311,:,,,,,,,,,,,,,,
   Police officers (sergeant and below),3312,219,44342,0.7,43153,-0.3,28550,32582,34921,37546,42240,46601,48503,49861,51436,55931
   Fire service officers (watch manager and below),3313,56,37488,4.2,37868,10.4,x,32147,34315,35045,36226,41362,44436,46151,47774,x
   Prison service officers (below principal officer),3314,x,30361,1.1,33545,9.0,x,x,x,26746,29243,33107,x,x,x,x
   Protective service associate professionals n.e.c.,3319,27,38612,8.1,41434,6.7,26539,32024,33252,34066,35924,42512,44606,x,x,x
" Culture, media and sports occupations",34,167,25341,-0.6,x,,x,x,x,x,21650,29009,33036,35482,x,x
"  Artistic, Literary and Media Occupations",341,62,30063,,32509,1.7,x,x,x,x,27009,32507,x,x,x,x
   Artists,3411,x,x,,31312,5.7,x,x,x,x,x,x,x,x,x,x
"   Authors, writers and translators",3412,12,31752,17.0,32410,11.3,x,24729,25904,26992,29309,33925,x,x,x,x
"   Actors, entertainers and presenters",3413,x,x,,x,,x,x,x,x,x,x,x,x,x,x
   Dancers and choreographers,3414,x,x,,x,,x,x,x,x,x,x,x,x,x,x
   Musicians,3415,x,x,,x,,x,x,x,x,x,x,x,x,x,x
"   Arts officers, producers and directors",3416,20,34593,,43093,,x,23948,27152,28637,32737,37843,x,x,x,x
"   Photographers, audio-visual and broadcasting equipment operators",3417,16,27677,16.6,28122,6.5,x,22388,23025,24085,25924,29794,31124,x,x,x
  Design Occupations ,342,x,x,,36478,2.3,x,24303,25445,27158,30379,x,x,x,x,x
   Interior designers,3421,21,32102,-7.9,36475,-0.6,x,23691,24710,25561,29024,35667,x,x,x,x
"   Clothing, fashion and accessories designers",3422,x,x,,39405,13.9,x,x,x,x,x,x,x,x,x,x
   Design occupations n.e.c.,3429,x,x,,35219,0.7,x,x,x,x,x,x,x,x,x,x
  Sports and Fitness Occupations,343,64,x,,x,,x,x,x,x,x,x,x,x,x,x
   Sports players,3431,x,x,,x,,x,x,x,x,x,x,x,x,x,x
"   Sports coaches, instructors and officials",3432,x,x,,15071,-16.8,x,x,x,x,x,x,x,x,x,x
   Fitness and wellbeing instructors,3433,17,x,,11733,-12.1,x,5752,5952,6314,x,x,x,x,x,x
 Business and public service associate professionals,35,1751,35060,4.3,41740,4.3,20041,25000,26668,28213,31367,39351,44661,48445,53141,70782
  Transport Associate Professionals,351,x,64238,3.8,69980,7.0,x,x,x,56484,61351,x,x,x,x,x
   Aircraft pilots and air traffic controllers,3511,x,x,,77608,7.2,x,x,x,x,x,x,x,x,x,x
   Ship and hovercraft officers,3512,x,x,,54696,19.1,x,x,x,x,x,x,x,x,x,x
