Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
   Legal professionals n.e.c.,2419,49,16.44,,26.02,,10.53,11.77,12.09,12.86,13.98,19.17,x,x,x,x
  Finance Professionals,242,256,20.51,,24.14,,12.73,15.22,16.35,17.09,18.7,22.61,25.94,27.38,29.01,35.75
   Chartered and certified accountants,2421,88,21.45,,23.53,,13.82,16.84,17.88,18.44,19.96,23.44,26.45,27.8,28.9,x
   Finance and investment analysts and advisers,2422,148,19.49,,24.01,,12.15,14.12,14.85,15.73,17.88,21.64,23.96,26.44,28.65,x
   Taxation experts,2423,20,24.93,,27.82,,16.47,17.35,18.2,19.38,20.52,27.11,29.3,x,x,x
"  Business, Research and Administrative Professionals",243,468,21.86,,24.1,,13.78,16.03,16.85,17.88,19.86,24.15,26.77,28.46,30.59,36.5
   Management consultants and business analysts,2431,189,22.17,,24.65,,13.58,15.9,16.73,17.87,20.44,24.79,28.46,30.14,31.65,37.29
   Marketing and commercial managers,2432,91,22.73,,24.61,,13.29,16.42,17.37,18.2,20.62,25.12,28.01,29.98,32.07,x
"   Actuaries, economists and statisticians",2433,29,23.85,,28.78,,14,16.17,17.8,18.77,21.6,26.46,30.05,x,x,x
   Business and related research professionals,2434,106,19.06,,20.01,,13.46,15.34,15.93,16.72,17.97,20.01,21.46,22.78,24.12,x
   Professional/Chartered company secretaries ,2435,x,x,,x,,x,x,x,x,x,x,x,x,x,x
"   Business, research and administrative professionals n.e.c.",2439,51,25.17,,26.65,,15.92,19.15,21.06,22.62,23.82,27.12,28.71,30.62,32.38,x
  Business and Financial Project Management Professionals,244,273,25.51,,27.46,,15.24,18.86,19.83,21.01,23.11,28.02,30.41,32.58,34.89,41.45
   Business and financial project management professionals,2440,273,25.51,,27.46,,15.24,18.86,19.83,21.01,23.11,28.02,30.41,32.58,34.89,41.45
"  Architects, Chartered Architectural Technologists, Planning Officers, Surveyors and Construction Professionals",245,193,20.12,,21.53,,12.5,14.82,15.84,16.76,18.47,22.02,24.36,25.48,26.83,31.76
   Architects,2451,41,21.41,,22.46,,14.13,16.37,17.14,18.12,19.53,22.49,24.3,25.32,25.74,x
"   Chartered architectural technologists, planning officers and consultants",2452,9,17.54,,19.49,,x,x,15.34,16.01,16.71,19.84,x,x,x,x
   Quantity surveyors,2453,48,22.1,,23.5,,11.26,14.47,16.34,17.13,19.35,25.27,27,29.68,31.37,x
   Chartered surveyors,2454,72,19.55,,20.67,,12.84,14.8,15.73,16.62,18.43,21.22,23.51,24.61,26.02,x
   Construction project managers and related professionals,2455,23,17.29,,19.22,,11.5,12.65,13.64,14.57,16.3,20.72,22,23.47,x,x
  Welfare Professionals,246,147,19.25,,19.13,,12.65,15,15.77,16.69,17.77,20.13,21.63,22.24,22.76,24.85
   Social workers,2461,103,20.09,,20.32,,14.41,16.71,17.4,17.81,19.13,21.16,22.19,22.76,23.35,25.77
   Probation officers,2462,12,17.45,,17.78,,x,x,15.65,15.72,16.28,19.25,19.26,19.6,x,x
   Clergy,2463,19,13.96,,15.09,,x,10.82,11.02,11.69,13.39,15.14,15.99,x,x,x
   Youth work professionals,2464,x,18.94,,18.77,,x,x,x,x,x,19.93,x,x,x,x
   Welfare professionals n.e.c.,2469,11,14.75,,16.69,,x,12.57,x,13.05,13.58,17.64,20.78,x,x,x
  Librarians and Related Professionals,247,17,15.06,,16.67,,x,11.91,12.09,13.01,14.01,17.1,18.36,19.12,x,x
   Librarians,2471,10,15.46,,16.82,,x,x,11.82,12.19,13.3,17.33,x,x,x,x
   Archivists and curators,2472,x,14.77,,16.46,,x,x,13.19,13.68,14.48,15.76,x,x,x,x
  Quality and Regulatory Professionals,248,178,21.03,,23.1,,13.16,15.36,16.53,17.3,19.13,22.35,25.1,27.04,28.4,34.69
   Quality control and planning engineers,2481,61,19,,20.12,,12.83,14.38,15.66,16.6,17.76,20.75,21.95,22.97,23.96,x
   Quality assurance and regulatory professionals,2482,104,22.15,,25.11,,13.28,15.94,16.93,18.22,20.44,24.72,27.77,29.31,31.32,x
   Environmental health professionals,2483,13,20.95,,21.23,,x,15.32,16.55,18.32,19.7,21.88,22.4,x,x,x
  Media Professionals,249,77,18.76,,21.22,,12.28,13.96,14.92,15.7,17.03,20.64,23,24.11,26.55,x
   Newspaper and periodical editors,2491,14,20.57,,25.06,,x,15.65,17.71,18.22,19.39,21.93,22.99,x,x,x
   Newspaper and periodical journalists and reporters,2492,x,15.98,,17.13,,x,x,x,12.42,14.02,17.35,x,x,x,x
   Public relations professionals,2493,28,16.44,,17.94,,11.19,12.58,12.91,14.14,15.75,17.71,19.37,21.07,22.86,x
   Advertising accounts managers and creative directors,2494,27,21.77,,23.75,,13.79,15.51,16.32,17.05,19.08,23.83,28.06,28.41,x,x
Associate professional occupations,3,3373,15.78,,18.52,,10.47,11.97,12.59,13.2,14.41,17.38,19.6,20.68,22.04,26.96
" Science, engineering and technology associate professionals",31,711,14.6,,15.89,,10.22,11.31,11.95,12.42,13.46,15.81,17.25,18,19.17,22.61
"  Science, Engineering and Production Technicians",311,387,14.14,,15.66,,10.18,11.19,11.72,12.19,13.16,15.41,16.85,17.58,18.7,22.25
   Laboratory technicians,3111,49,11.35,,13.09,,9.51,10.2,10.37,10.68,10.98,12.19,12.61,13.34,14.2,x
   Electrical and electronics technicians ,3112,11,17.13,,17.57,,x,12.43,13.41,14.69,15.02,17.85,18.85,x,x,x
   Engineering technicians ,3113,64,17.37,,19.05,,11.65,13.66,14.46,15.29,16.53,18.72,21.13,22.02,22.71,x
   Building and civil engineering technicians ,3114,x,14.63,,x,,x,x,12.37,12.44,14.03,x,x,x,x,x
   Quality assurance technicians ,3115,27,14.01,,14.39,,10.4,11.71,12.06,12.74,13.35,14.63,15.33,15.55,15.91,x
"   Planning, process and production technicians",3116,45,15.37,,16.83,,11.04,12.44,13.07,13.43,14.21,16.98,18.7,19.5,20.88,x
"   Science, engineering and production technicians n.e.c.",3119,183,13.6,,14.58,,9.99,10.89,11.45,12,12.69,14.62,15.87,16.58,17.42,20.1
"  CAD, Drawing and Architectural Technicians",312,50,15.15,,15.74,,11.16,12.57,13.05,13.76,14.37,15.9,17.23,17.66,18.3,x
"   CAD, drawing and architectural technicians",3120,50,15.15,,15.74,,11.16,12.57,13.05,13.76,14.37,15.9,17.23,17.66,18.3,x
  Information Technology Technicians,313,274,15.16,,16.26,,10.13,11.47,12.06,12.73,13.79,16.37,17.74,18.65,20.02,23.38
   IT operations technicians,3131,78,14.85,,16.15,,10.02,11.33,11.8,12.31,13.55,15.96,17.57,18.87,19.8,x
   IT user support technicians,3132,169,15.1,,16.12,,10.1,11.53,12.12,12.7,13.78,16.4,17.68,18.63,20.03,23
   Database administrators and web content technicians,3133,26,15.66,,17.49,,10.46,11.3,12.11,13.04,15.13,17.34,17.97,18.21,x,x
 Health and social care associate professionals,32,441,12.82,,13.38,,9.22,10.18,10.7,11.18,11.98,13.64,14.52,15.04,15.69,17.5
  Health Associate Professionals,321,43,12.8,,14.14,,10.21,10.89,11.37,11.66,12.32,13.54,14.54,15.49,15.97,x
   Dispensing opticians,3211,x,13.74,,14.6,,x,x,x,12.35,13.16,14.04,x,x,x,x
   Pharmaceutical technicians,3212,16,12.79,,13.55,,x,10.94,11.42,11.7,12.5,13.18,14.06,15.08,x,x
   Medical and dental technicians,3213,19,12.69,,14.53,,10.21,10.81,11.02,11.22,11.82,13.48,14.51,15.65,x,x
   Complementary health associate professionals,3214,..,,,,,,,,,,,,,,
   Health associate professionals n.e.c.,3219,x,12,,13.51,,x,x,x,x,x,x,x,x,x,x
  Welfare and Housing Associate Professionals,322,276,13.89,,14.45,,10.47,11.45,11.87,12.3,13.15,14.53,15.46,15.88,16.52,18.59
   Youth and community workers,3221,73,14.4,,14.66,,10.66,11.49,11.96,12.5,13.68,15.01,16.01,16.46,16.93,x
   Child and early years officers,3222,39,14.02,,14.21,,10.2,11.15,11.68,12.04,12.99,14.53,15.5,15.66,16.57,x
   Housing officers,3223,42,15.35,,15.62,,11.24,12.71,13.41,13.61,14.46,16.27,17.02,17.34,18.04,x
   Counsellors,3224,12,14.21,,17.85,,x,x,12.75,12.98,13.67,15.3,17.03,x,x,x
   Welfare and housing associate professionals n.e.c.,3229,111,13.12,,13.62,,10,11,11.49,11.84,12.43,13.62,14.37,14.61,15.06,x
  Teaching and Childcare Associate Professionals,323,99,9.83,,10.53,,8.6,8.98,9.07,9.17,9.47,10.39,11.38,11.81,12.38,x
   Higher level teaching assistants,3231,25,12.44,,12.5,,9.93,10.41,10.96,11.49,11.96,12.95,13.44,13.6,14.2,x
   Early education and childcare practitioners,3232,75,9.41,,9.94,,8.44,8.91,8.95,9,9.19,9.7,10.16,10.47,10.87,x
  Veterinary nurses,324,23,11.65,,11.62,,8.91,9.58,9.98,10.46,11.05,12.24,12.58,13.16,13.34,x
   Veterinary nurses,3240,23,11.65,,11.62,,8.91,9.58,9.98,10.46,11.05,12.24,12.58,13.16,13.34,x
 Protective service occupations,33,338,19.71,,18.84,,12.82,14.38,14.88,15.63,17.74,20.24,21.05,21.57,22.16,23.84
  Protective Service Occupations,331,338,19.71,,18.84,,12.82,14.38,14.88,15.63,17.74,20.24,21.05,21.57,22.16,23.84
   Non-commissioned officers and other ranks,3311,:,,,,,,,,,,,,,,
   Police officers (sergeant and below),3312,242,20.24,,19.46,,13.01,14.57,15.63,17.18,19.71,20.89,21.58,22.02,22.64,24.01
   Fire service officers (watch manager and below),3313,51,16.21,,16.82,,13.75,14.51,14.77,14.87,15.21,17.32,17.89,18.2,18.53,x
   Prison service officers (below principal officer),3314,22,15.25,,15.97,,12.21,12.55,12.69,13.02,13.94,16.69,x,x,18.15,x
   Protective service associate professionals n.e.c.,3319,23,18.09,,19.57,,11.97,13.98,15.15,15.98,17.05,18.84,20.05,20.78,x,x
