Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
   Youth work professionals,2464,x,x,,21.02,13.4,x,x,x,x,x,x,x,x,x,x
   Welfare professionals n.e.c.,2469,16,17.77,5.0,18.29,2.7,12.08,12.73,13.4,14.18,15.86,19.34,21.11,22.51,x,x
  Librarians and Related Professionals,247,26,16.67,5.4,18.38,5.5,12.01,12.78,13.72,13.88,14.83,17.7,19.54,20.34,21.05,x
   Librarians,2471,15,15.26,3.3,18.37,5.2,11.92,12.61,12.78,13.33,13.89,17.4,19.67,x,x,x
   Archivists and curators,2472,11,16.95,5.6,18.39,5.9,x,14.19,14.59,15.36,16.67,17.9,18.95,x,x,x
  Quality and Regulatory Professionals,248,204,22,4.3,23.48,2.2,14.39,16.69,17.79,18.65,20.35,23.91,25.89,27.02,28.48,32.84
   Quality control and planning engineers,2481,65,21.39,4.2,21.79,5.8,14.61,16.58,17.43,18.4,19.44,22.52,24.36,25.72,26.49,x
   Quality assurance and regulatory professionals,2482,125,22.84,4.1,24.64,-0.1,14.33,16.72,17.99,18.88,20.74,24.55,27.37,28.46,30.57,x
   Environmental health professionals,2483,15,21.59,3.9,21.02,1.6,x,16.19,17.44,17.57,19.84,22.91,24.34,24.55,x,x
  Media Professionals,249,119,20.21,5.4,21.31,-1.7,13.69,15.45,16.29,17.06,18.7,21.97,23.64,24.54,25.56,x
   Newspaper and periodical editors,2491,24,20.61,6.3,21.29,-9.7,14.36,16.12,17.05,17.47,18.74,22.49,23.58,25.45,x,x
   Newspaper and periodical journalists and reporters,2492,19,19.31,-0.3,20.41,2.4,13.77,15.36,15.54,16.54,17.83,20.79,23.59,24.01,x,x
   Public relations professionals,2493,41,17.94,1.7,19.19,2.0,12.37,14.31,14.71,15.35,16.47,19.18,21.34,22.35,23.47,x
   Advertising accounts managers and creative directors,2494,35,22.29,5.8,24.18,-4.2,14.94,18.53,19.2,19.88,21.15,23.73,25.73,26.71,28.55,x
Associate professional occupations,3,4204,16.53,3.6,19.45,5.2,11.54,12.77,13.38,13.94,15.18,18.1,20.21,21.39,22.9,28.49
" Science, engineering and technology associate professionals",31,853,15.86,5.7,17.22,5.4,11.52,12.7,13.16,13.71,14.75,17.1,18.71,19.56,20.69,24.05
"  Science, Engineering and Production Technicians",311,479,15.65,5.7,16.92,5.8,11.45,12.49,12.96,13.44,14.51,16.97,18.59,19.28,20.46,23.5
   Laboratory technicians,3111,65,12.58,7.0,13.83,4.1,10.79,11.11,11.3,11.52,11.96,13.37,13.84,14.38,15.01,x
   Electrical and electronics technicians ,3112,12,18.05,4.3,19.45,10.6,x,14.12,15.55,16.14,16.84,19.03,x,x,x,x
   Engineering technicians ,3113,85,19.98,6.9,20.39,6.2,13.74,15.79,16.76,17.11,18.84,20.93,22.48,22.98,24.06,x
   Building and civil engineering technicians ,3114,10,14.55,-5.3,15.16,-12.4,x,x,13.15,13.44,13.88,15.47,x,x,x,x
   Quality assurance technicians ,3115,32,14.82,4.1,15.5,4.4,11.85,12.6,12.86,13.17,14.33,15.47,16.57,17.05,17.44,x
"   Planning, process and production technicians",3116,53,16.26,5.9,17.77,5.8,12.8,13.67,13.99,14.35,15.33,17.49,18.92,19.75,21.07,x
"   Science, engineering and production technicians n.e.c.",3119,221,15.29,7.0,16.36,7.1,11.17,12.2,12.77,13.19,14.29,16.5,17.85,18.59,19.27,22.39
"  CAD, Drawing and Architectural Technicians",312,53,16.05,6.2,16.97,3.5,12.08,13.27,13.76,14.06,15.03,16.86,17.68,18.39,19.13,x
"   CAD, drawing and architectural technicians",3120,53,16.05,6.2,16.97,3.5,12.08,13.27,13.76,14.06,15.03,16.86,17.68,18.39,19.13,x
  Information Technology Technicians,313,322,16.1,5.4,17.74,5.3,11.61,12.87,13.39,13.91,15.02,17.52,19.15,20.23,21.42,24.99
   IT operations technicians,3131,95,15.69,7.6,17.51,5.1,11.44,12.73,13.16,13.5,14.56,16.92,18.54,19.73,20.49,x
   IT user support technicians,3132,190,16.29,6.5,17.71,6.3,11.7,12.94,13.43,13.96,15.19,17.86,19.61,20.47,21.7,24.91
   Database administrators and web content technicians,3133,37,16.1,-1.7,18.47,-1.1,11.94,13,13.8,14.34,15.3,16.64,18.63,20.18,x,x
