Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
  Librarians and Related Professionals,247,25,14.65,,16.26,,9.7,11.17,11.83,12.25,13.4,15.73,17.77,18.59,x,x
   Librarians,2471,16,14.7,,16.38,,9.95,11.15,x,12.09,12.91,15.77,18.05,18.9,x,x
   Archivists and curators,2472,9,14.6,,16.07,,x,11.22,11.95,13.15,14.01,15.15,17.44,x,x,x
  Quality and Regulatory Professionals,248,192,20.83,,22.97,,12.97,15.33,16.4,17.23,19.1,22.2,24.76,26.5,28.08,34.17
   Quality control and planning engineers,2481,66,19.01,,20.13,,12.52,14.36,15.61,16.59,17.73,20.75,21.93,23.14,23.98,x
   Quality assurance and regulatory professionals,2482,112,21.79,,24.93,,13.2,15.77,16.9,17.99,20.31,24.31,27.36,28.75,30.95,x
   Environmental health professionals,2483,14,20.61,,20.93,,x,15.32,15.79,17.26,19.24,21.78,22.33,22.82,x,x
  Media Professionals,249,93,18.3,,20.97,,11.25,13.28,14.33,15.12,16.57,19.94,22.73,23.89,25.37,x
   Newspaper and periodical editors,2491,16,19.9,,24.61,,x,15.3,16.16,18.11,19.16,21.88,23.11,x,x,x
   Newspaper and periodical journalists and reporters,2492,9,16.71,,17.75,,x,x,12.35,12.77,14.45,18.36,x,x,x,x
   Public relations professionals,2493,35,16.3,,17.83,,10.36,11.64,12.47,12.76,14.77,17.58,19.17,20.65,22.78,x
   Advertising accounts managers and creative directors,2494,32,20.59,,23.32,,13.42,15.19,15.88,16.57,18.1,23.28,25.13,28.12,x,x
Associate professional occupations,3,4050,15.2,,18.12,,10.02,11.4,12.04,12.67,13.89,16.73,18.84,20.04,21.4,26.27
" Science, engineering and technology associate professionals",31,782,14.33,,15.75,,10.06,11.09,11.64,12.18,13.19,15.58,16.98,17.77,18.88,22.5
"  Science, Engineering and Production Technicians",311,424,13.89,,15.49,,10,10.89,11.32,11.92,12.78,15.01,16.57,17.4,18.42,22.11
   Laboratory technicians,3111,59,11.24,,12.88,,9.54,10.15,10.32,10.49,10.83,11.79,12.54,13.11,14.03,x
   Electrical and electronics technicians ,3112,12,17.05,,17.46,,x,12.21,13.27,14.12,14.94,17.72,18.38,x,x,x
   Engineering technicians ,3113,67,17.32,,18.96,,11.54,13.45,14.22,14.87,16.35,18.62,21.02,21.95,22.71,x
   Building and civil engineering technicians ,3114,8,14.57,,x,,x,x,12.32,12.37,13.54,x,x,x,x,x
   Quality assurance technicians ,3115,28,13.93,,14.36,,10.41,11.71,12.07,12.67,13.3,14.59,15.33,15.54,15.92,x
