Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
   Teachers of English as a foreign language,2317,x,x,,22238,,x,x,x,x,x,x,x,x,x,x
   Teaching professionals n.e.c.,2319,54,x,,19676,,x,x,x,x,x,x,x,x,x,x
  Other Educational Professionals,232,162,45276,,47672,,15951,23306,25694,28657,37721,53458,61753,64288,67275,x
   Head teachers and principals,2321,58,65959,,70094,,45461,54908,57487,59844,62866,69540,72737,75956,78282,x
   Education managers ,2322,32,38848,,40776,,20411,24787,26656,28013,34371,44218,x,x,x,x
   Education advisers and school inspectors,2323,16,29526,,30412,,x,x,x,x,25362,32947,36365,x,x,x
   Early education and childcare services managers,2324,24,20769,,21322,,9219,12915,14452,16049,18084,23182,24913,25316,x,x
   Other educational professionals n.e.c,2329,32,40352,,42130,,x,24219,27083,32250,38127,45395,50858,53552,59362,x
" Business, media and public service professionals",24,1773,38933,,45741,,20460,26350,28812,30913,34888,43166,48807,52257,56245,71893
  Legal Professionals,241,178,42894,,56931,,20426,24515,27939,31093,36039,50264,61508,68036,79896,x
   Barristers and judges,2411,14,x,,40936,,x,x,x,x,33808,x,x,x,x,x
   Solicitors and lawyers,2412,119,47314,,60174,,22624,29750,33253,35763,41255,52681,65488,75822,84538,x
   Legal professionals n.e.c.,2419,45,31042,,53195,,16954,20532,21589,22999,25953,35510,x,x,x,x
  Finance Professionals,242,256,37067,,49190,,20609,24945,27180,29633,33548,40739,46488,49842,52626,x
   Chartered and certified accountants,2421,93,39922,,41600,,19268,25334,28341,30339,35641,42932,47791,50289,52966,x
   Finance and investment analysts and advisers,2422,141,35431,,54449,,20643,24141,26152,27946,31997,38579,44894,47658,51657,x
   Taxation experts,2423,22,39221,,47488,,24947,31277,31937,32817,35797,47652,x,x,x,x
"  Business, Research and Administrative Professionals",243,451,39579,,44458,,21029,28101,30022,31640,35533,43927,50248,53659,57527,70709
   Management consultants and business analysts,2431,185,41479,,45634,,22405,28194,30110,31933,36010,45593,52573,55821,60093,x
   Marketing and commercial managers,2432,85,43416,,46775,,20483,28297,30000,33974,38788,48409,53891,57048,62088,x
"   Actuaries, economists and statisticians",2433,24,44712,,56858,,26360,31512,32584,37390,41631,52037,57881,x,x,x
   Business and related research professionals,2434,100,34138,,35736,,19950,26532,28259,29903,31778,36879,39174,40322,42385,x
   Professional/Chartered company secretaries ,2435,x,x,,x,,x,x,x,x,x,x,x,x,x,x
"   Business, research and administrative professionals n.e.c.",2439,49,46976,,49593,,26813,32663,34679,37486,42408,52643,56223,57833,60808,x
  Business and Financial Project Management Professionals,244,265,47157,,51152,,24007,32474,35612,38139,42762,52254,57580,62615,67488,x
   Business and financial project management professionals,2440,265,47157,,51152,,24007,32474,35612,38139,42762,52254,57580,62615,67488,x
"  Architects, Chartered Architectural Technologists, Planning Officers, Surveyors and Construction Professionals",245,183,39149,,41358,,22347,28408,29989,31286,34758,42605,46972,49181,52998,x
   Architects,2451,40,40606,,42920,,25275,29059,31017,32666,36062,43451,47029,48900,x,x
"   Chartered architectural technologists, planning officers and consultants",2452,10,31199,,32755,,x,x,x,27353,29092,32918,x,x,x,x
   Quantity surveyors,2453,42,44996,,46598,,21866,28890,30569,33052,39110,49577,56249,59255,60518,x
   Chartered surveyors,2454,70,37569,,38850,,20419,27945,29824,31270,33606,40166,x,x,x,x
   Construction project managers and related professionals,2455,21,37156,,40368,,x,27819,28671,29827,32841,39796,43351,x,x,x
  Welfare Professionals,246,166,33434,,32347,,17548,22401,24042,26259,30432,36095,38685,39835,41639,45091
   Social workers,2461,115,35468,,34515,,19629,24732,27390,30144,33078,37624,39856,41256,42933,x
   Probation officers,2462,13,33048,,32358,,x,23801,24764,28112,30928,36670,38599,x,x,x
   Clergy,2463,24,23233,,23696,,9974,12628,16003,17738,20537,25586,28510,29163,x,x
   Youth work professionals,2464,x,x,,27621,,x,x,x,x,x,x,x,x,x,x
   Welfare professionals n.e.c.,2469,10,27677,,30022,,x,x,x,22772,25256,30889,x,x,x,x
  Librarians and Related Professionals,247,22,25363,,25530,,x,13772,15055,16278,22449,27163,30240,32280,x,x
